Jahr;Monat;Jahr und Monat;Geschlecht;Altersgruppe;Anzahl Verstorbene;Mittlere Bevölkerung;Rohe Sterbeziffer pro 1000 Einwohner;Erwartete Anzahl Verstorbene;Mittlere Referenzbevölkerung;Standardisierte Sterberate
2012;1;2012-01-01;Männer;0-4;;4313;0.0;0;4313;0.0
2012;2;2012-02-01;Männer;0-4;1;4326;0.231;1;4313;0.231
2012;4;2012-04-01;Männer;0-4;;4386;0.0;0;4313;0.0
2012;7;2012-07-01;Männer;0-4;;4401;0.0;0;4313;0.0
2012;11;2012-11-01;Männer;0-4;1;4431;0.226;1;4313;0.226
2012;12;2012-12-01;Männer;0-4;;4438;0.0;0;4313;0.0
2013;3;2013-03-01;Männer;0-4;1;4499;0.222;1;4313;0.222
2013;6;2013-06-01;Männer;0-4;1;4583;0.218;1;4313;0.218
2013;7;2013-07-01;Männer;0-4;2;4594;0.435;2;4313;0.435
2013;12;2013-12-01;Männer;0-4;1;4656;0.215;1;4313;0.215
2014;3;2014-03-01;Männer;0-4;1;4695;0.213;1;4313;0.213
2014;6;2014-06-01;Männer;0-4;;4701;0.0;0;4313;0.0
2014;9;2014-09-01;Männer;0-4;;4733;0.0;0;4313;0.0
2015;5;2015-05-01;Männer;0-4;1;4762;0.21;1;4313;0.21
2015;9;2015-09-01;Männer;0-4;1;4740;0.211;1;4313;0.211
2015;12;2015-12-01;Männer;0-4;;4768;0.0;0;4313;0.0
2016;2;2016-02-01;Männer;0-4;;4798;0.0;0;4313;0.0
2016;3;2016-03-01;Männer;0-4;1;4811;0.208;1;4313;0.208
2016;4;2016-04-01;Männer;0-4;;4807;0.0;0;4313;0.0
2016;5;2016-05-01;Männer;0-4;;4804;0.0;0;4313;0.0
2016;6;2016-06-01;Männer;0-4;;4798;0.0;0;4313;0.0
2016;7;2016-07-01;Männer;0-4;;4784;0.0;0;4313;0.0
2016;8;2016-08-01;Männer;0-4;;4781;0.0;0;4313;0.0
2016;10;2016-10-01;Männer;0-4;;4781;0.0;0;4313;0.0
2016;12;2016-12-01;Männer;0-4;1;4789;0.209;1;4313;0.209
2017;2;2017-02-01;Männer;0-4;;4791;0.0;0;4313;0.0
2017;10;2017-10-01;Männer;0-4;;4813;0.0;0;4313;0.0
2018;3;2018-03-01;Männer;0-4;;4862;0.0;0;4313;0.0
2018;7;2018-07-01;Männer;0-4;;4841;0.0;0;4313;0.0
2018;8;2018-08-01;Männer;0-4;;4852;0.0;0;4313;0.0
2018;9;2018-09-01;Männer;0-4;;4858;0.0;0;4313;0.0
2018;10;2018-10-01;Männer;0-4;2;4894;0.409;2;4313;0.409
2018;11;2018-11-01;Männer;0-4;1;4959;0.202;1;4313;0.202
2019;1;2019-01-01;Männer;0-4;1;4967;0.201;1;4313;0.201
2019;2;2019-02-01;Männer;0-4;;4963;0.0;0;4313;0.0
2019;4;2019-04-01;Männer;0-4;;4955;0.0;0;4313;0.0
2019;6;2019-06-01;Männer;0-4;;4919;0.0;0;4313;0.0
2019;8;2019-08-01;Männer;0-4;;4889;0.0;0;4313;0.0
2020;2;2020-02-01;Männer;0-4;;4881;0.0;0;4313;0.0
2020;3;2020-03-01;Männer;0-4;1;4887;0.205;1;4313;0.205
2020;5;2020-05-01;Männer;0-4;;4897;0.0;0;4313;0.0
2020;6;2020-06-01;Männer;0-4;;4897;0.0;0;4313;0.0
2020;9;2020-09-01;Männer;0-4;1;4878;0.205;1;4313;0.205
2020;11;2020-11-01;Männer;0-4;1;4843;0.207;1;4313;0.207
2021;1;2021-01-01;Männer;0-4;1;4832;0.207;1;4313;0.207
2021;2;2021-02-01;Männer;0-4;1;4802;0.208;1;4313;0.208
2021;5;2021-05-01;Männer;0-4;;4856;0.0;0;4313;0.0
2021;6;2021-06-01;Männer;0-4;;4843;0.0;0;4313;0.0
2021;9;2021-09-01;Männer;0-4;;4814;0.0;0;4313;0.0
2021;10;2021-10-01;Männer;0-4;;4810;0.0;0;4313;0.0
2022;5;2022-05-01;Männer;0-4;1;4821;0.207;1;4313;0.207
2022;6;2022-06-01;Männer;0-4;1;4818;0.208;1;4313;0.208
2022;9;2022-09-01;Männer;0-4;1;4740;0.211;1;4313;0.211
2022;12;2022-12-01;Männer;0-4;;4746;0.0;0;4313;0.0
2023;2;2023-02-01;Männer;0-4;;4741;0.0;0;4313;0.0
2023;3;2023-03-01;Männer;0-4;1;4728;0.212;1;4313;0.212
2023;5;2023-05-01;Männer;0-4;1;4715;0.212;1;4313;0.212
2023;8;2023-08-01;Männer;0-4;;4756;0.0;0;4313;0.0
2024;1;2024-01-01;Männer;0-4;1;4719;0.212;1;4313;0.212
2024;2;2024-02-01;Männer;0-4;;4741;0.0;0;4313;0.0
2024;4;2024-04-01;Männer;0-4;1;4765;0.21;1;4313;0.21
2024;7;2024-07-01;Männer;0-4;;4779;0.0;0;4313;0.0
2024;8;2024-08-01;Männer;0-4;;4768;0.0;0;4313;0.0
2024;9;2024-09-01;Männer;0-4;;4739;0.0;0;4313;0.0
2025;1;2025-01-01;Männer;0-4;;4702;0.0;0;4313;0.0
2025;2;2025-02-01;Männer;0-4;1;4715;0.212;1;4313;0.212
2025;4;2025-04-01;Männer;0-4;1;4738;0.211;1;4313;0.211
2025;5;2025-05-01;Männer;0-4;2;4732;0.423;2;4313;0.423
2012;4;2012-04-01;Männer;10-14;;3768;0.0;0;3773;0.0
